id,no_surat,ayat_surat,word,trans,rowlabel,maxrow
75866,83,16,إِنَّهُمْ,"""indeed",74,
75867,83,16,لَصَالُوا,(surely) will burn,75,
75868,83,16,الْجَحِيمِ,(in) the Hellfire.,76,
75135,78,5,ثُمَّ,Then,12,
75136,78,5,كَلَّا,Nay!,13,
75137,78,5,سَيَعْلَمُونَ,(soon) they will know.,14,
75138,78,6,أَلَمْ,Have not,15,
75139,78,6,نَجْعَلِ,We made,16,
75141,78,6,مِهَادًا,a resting place?,18,
75143,78,7,أَوْتَادًا,"""(as) pegs",20,
75175,78,17,الْفَصْلِ,(of) the Judgment,52,
75347,79,16,طُوًى,"""(of)",51,
75358,79,18,تَزَكَّى,purify yourself?,62,
75519,80,15,بِأَيْدِي,In (the) hands,44,
75520,80,15,سَفَرَةٍ,(of) scribes.,45,
75521,80,16,كِرَامٍ,"""Noble",46,
75522,80,16,بَرَرَةٍ,dutiful.,47,
75820,83,7,كِتَابَ,(the) record,28,
75821,83,7,الْفُجَّارِ,(of) the wicked,29,
75824,83,8,وَمَا,And what,32,
75825,83,8,أَدْرَاكَ,can make you know,33,
75826,83,8,مَا,what,34,
75827,83,8,سِجِّينٌ,(is) Sijjin?,35,
75862,83,15,رَبِّهِمْ,their Lord,70,
75863,83,15,يَوْمَئِذٍ,that Day,71,
75869,83,17,ثُمَّ,Then,77,
75870,83,17,يُقَالُ,"""it will be said",78,
75871,83,17,هَذَا,"""""""This""",79,
75872,83,17,الَّذِي,(is) what,80,
75873,83,17,كُنْتُمْ,you used to,81,
75874,83,17,بِهِ,[of it],82,
75875,83,17,تُكَذِّبُونَ,"""deny.""""""",83,
75876,83,18,كَلَّا,Nay!,84,
75877,83,18,إِنَّ,"""Indeed",85,
75878,83,18,كِتَابَ,(the) record,86,
75879,83,18,الْأَبْرَارِ,(of) the righteous,87,
75880,83,18,لَفِي,(will be) surely in,88,
75881,83,18,عِلِّيِّينَ,Illiyin.,89,
75882,83,19,وَمَا,And what,90,
75883,83,19,أَدْرَاكَ,can make you know,91,
75884,83,19,مَا,what,92,
75885,83,19,عِلِّيُّونَ,(is) Illiyun?,93,
75886,83,20,كِتَابٌ,A book,94,
75887,83,20,مَرْقُومٌ,"""written",95,
75888,83,21,يَشْهَدُهُ,Witness it,96,
75889,83,21,الْمُقَرَّبُونَ,those brought near.,97,
75890,83,22,إِنَّ,"""Indeed",98,
75891,83,22,الْأَبْرَارَ,the righteous,99,
75892,83,22,لَفِي,(will be) surely in,100,
75893,83,22,نَعِيمٍ,"""bliss",101,
75894,83,23,عَلَى,On,102,
75895,83,23,الْأَرَائِكِ,thrones,103,
75896,83,23,يَنْظُرُونَ,observing.,104,
75897,83,24,تَعْرِفُ,You will recognize,105,
75898,83,24,فِي,in,106,
75899,83,24,وُجُوهِهِمْ,their faces,107,
75900,83,24,نَضْرَةَ,(the) radiance,108,
75901,83,24,النَّعِيمِ,(of) bliss.,109,
75902,83,25,يُسْقَوْنَ,They will be given to drink,110,
75983,84,6,رَبِّكَ,your Lord,22,
75984,84,6,كَدْحًا,(with) exertion,23,
75985,84,6,فَمُلَاقِيهِ,and you (will) meet Him.,24,
75986,84,7,فَأَمَّا,Then as for,25,
76560,90,5,عَلَيْهِ,over him,21,
76561,90,5,أَحَدٌ,anyone?,22,
76562,90,6,يَقُولُ,"""He will say",23,
76563,90,6,أَهْلَكْتُ,"""""""I have squandered""",24,
75126,78,2,عَنِ,About,3,
75130,78,3,هُمْ,they,7,
75131,78,3,فِيهِ,(are) concerning it,8,
75132,78,3,مُخْتَلِفُونَ,(in) disagreement.,9,
75133,78,4,كَلَّا,Nay!,10,
75134,78,4,سَيَعْلَمُونَ,(soon) they will know.,11,
75524,80,17,الْإِنْسَانُ,"""[the] man",49,
75525,80,17,مَا,how,50,
75822,83,7,لَفِي,(is) surely in,30,
75823,83,7,سِجِّينٍ,Sijjin.,31,
75864,83,15,لَمَحْجُوبُونَ,surely will be partitioned.,72,
75865,83,16,ثُمَّ,Then,73,
76564,90,6,مَالًا,wealth,25,
76571,90,8,أَلَمْ,Have not,32,
76572,90,8,نَجْعَلْ,We made,33,
76573,90,8,لَهُ,for him,34,
76574,90,8,عَيْنَيْنِ,two eyes?,35,
76575,90,9,وَلِسَانًا,"""And a tongue",36,
76576,90,9,وَشَفَتَيْنِ,and two lips?,37,
75542,80,22,إِذَا,when,67,
75543,80,22,شَاءَ,"""He wills",68,
75544,80,22,أَنْشَرَهُ,He will resurrect him.,69,
75545,80,23,كَلَّا,Nay!,70,
75546,80,23,لَمَّا,Not,71,
75547,80,23,يَقْضِ,he has accomplished,72,
75560,80,26,الْأَرْضَ,the earth,85,
75561,80,26,شَقًّا,"""splitting",86,
75562,80,27,فَأَنْبَتْنَا,Then We caused to grow,87,
75563,80,27,فِيهَا,therein,88,
75564,80,27,حَبًّا,"""grain",89,
75565,80,28,وَعِنَبًا,And grapes,90,
75566,80,28,وَقَضْبًا,"""and green fodder",91,
75567,80,29,وَزَيْتُونًا,And olive,92,
76956,98,1,الْكِتَابِ,of the Book,7,
75571,80,31,وَفَاكِهَةً,And fruits,96,
75572,80,31,وَأَبًّا,"""and grass",97,
75573,80,32,مَتَاعًا,(As) a provision,98,
75574,80,32,لَكُمْ,for you,99,
75828,83,9,كِتَابٌ,A book,36,
75829,83,9,مَرْقُومٌ,written.,37,
75830,83,10,وَيْلٌ,Woe,38,
75831,83,10,يَوْمَئِذٍ,that Day,39,
75832,83,10,لِلْمُكَذِّبِينَ,"""to the deniers",40,
75833,83,11,الَّذِينَ,Those who,41,
75834,83,11,يُكَذِّبُونَ,deny,42,
76552,90,4,خَلَقْنَا,We have created,13,
76553,90,4,الْإِنْسَانَ,man,14,
76846,95,8,بِأَحْكَمِ,(the) Most Just,33,
76944,97,4,أَمْرٍ,"""affair",25,
76945,97,5,سَلَامٌ,Peace,26,
76946,97,5,هِيَ,it (is),27,
76947,97,5,حَتَّى,until,28,
76948,97,5,مَطْلَعِ,(the) emergence,29,
76949,97,5,الْفَجْرِ,(of) the dawn.,30,
76950,98,1,لَمْ,Not,1,
76951,98,1,يَكُنِ,were,2,
76952,98,1,الَّذِينَ,those who,3,
76953,98,1,كَفَرُوا,disbelieved,4,
76954,98,1,مِنْ,from,5,
75235,78,33,أَتْرَابًا,"""well-matched",112,
75236,78,34,وَكَأْسًا,And a cup,113,
75237,78,34,دِهَاقًا,full.,114,
75238,78,35,لَا,Not,115,
75239,78,35,يَسْمَعُونَ,they will hear,116,
75240,78,35,فِيهَا,therein,117,
75241,78,35,لَغْوًا,any vain talk,118,
75242,78,35,وَلَا,and not,119,
75244,78,36,جَزَاءً,(As) a reward,121,
75245,78,36,مِنْ,from,122,
75246,78,36,رَبِّكَ,"""your Lord",123,
75247,78,36,عَطَاءً,a gift,124,
75249,78,37,رَبِّ,Lord,126,
75330,79,12,خَاسِرَةٌ,"""losing.""""""",34,
75532,80,19,نُطْفَةٍ,a semen-drop,57,
75533,80,19,خَلَقَهُ,"""He created him",58,
75534,80,19,فَقَدَّرَهُ,"""then He proportioned him",59,
75535,80,20,ثُمَّ,Then,60,
75536,80,20,السَّبِيلَ,"""the way",61,
75537,80,20,يَسَّرَهُ,"""He made easy for him",62,
75538,80,21,ثُمَّ,Then,63,
75539,80,21,أَمَاتَهُ,He causes him to die,64,
75541,80,22,ثُمَّ,Then,66,
75568,80,29,وَنَخْلًا,"""and date-palms",93,
75570,80,30,غُلْبًا,"""(of) thick foliage",95,
76955,98,1,أَهْلِ,(the) People,6,
75517,80,14,مَرْفُوعَةٍ,"""Exalted",42,
75355,79,18,لَكَ,[for] you,59,
75356,79,18,إِلَى,[to],60,
75357,79,18,أَنْ,[that],61,
75360,79,19,إِلَى,to,64,
75361,79,19,رَبِّكَ,your Lord,65,
75655,81,16,الْجَوَارِ,Those that run,47,
75656,81,16,الْكُنَّسِ,"""(and) disappear",48,
75657,81,17,وَاللَّيْلِ,And the night,49,
75658,81,17,إِذَا,when,50,
75659,81,17,عَسْعَسَ,"""it departs",51,
75660,81,18,وَالصُّبْحِ,And the dawn,52,
